_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
4206,PROGRES EN UROLOGIE,1166-7087,N/A,UROLOGY & NEPHROLOGY - SCIE,"1,156",0.92,Q4,0.21,0.29%
4207,Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas,0717-7917,0717-7917,INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE,452,0.91,Q4,0.27,0.79%
4208,Iranian Journal of Kidney Diseases,1735-8582,1735-8604,UROLOGY & NEPHROLOGY - SCIE,931,0.89,Q4,0.31,0.00%
4209,Journal of Traditional Chinese Medicine,0255-2922,1577-7014,INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE,"2,096",0.85,Q4,0.22,1.81%
4210,Nephrologie & Therapeutique,1769-7255,1872-9177,UROLOGY & NEPHROLOGY - SCIE,509,0.72,Q4,0.2,0.00%
4211,AKTUELLE UROLOGIE,0001-7868,1438-8820,UROLOGY & NEPHROLOGY - SCIE,180,0.66,Q4,0.13,0.72%
4212,UROLOGE,0340-2592,1433-0563,UROLOGY & NEPHROLOGY - SCIE,843,0.64,Q4,0.21,5.58%
4213,ARCHIVOS ESPANOLES DE UROLOGIA,0004-0614,1576-8260,UROLOGY & NEPHROLOGY - SCIE,598,0.44,Q4,0.13,0.00%
4214,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,2167-9010,INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE,177,0.14,Q4,0.09,0.00%
4215,Revista de Nefrologia Dialisis y Trasplante,0326-3428,2346-8548,UROLOGY & NEPHROLOGY - SCIE,31,0.14,Q4,0.03,100.00%
4216,Nephrologe,1862-040X,1862-0418,UROLOGY & NEPHROLOGY - ESCI,45,n/a,n/a,0.03,3.61%
4217,International Journal of Nephrology and Renovascular Disease,1178-7058,1178-7058,UROLOGY & NEPHROLOGY - ESCI,879,n/a,n/a,0.63,100.00%
4218,CEN Case Reports,2192-4449,2192-4449,UROLOGY & NEPHROLOGY - ESCI,297,n/a,n/a,0.31,6.17%
4219,Urologia Journal,0391-5603,1724-6075,UROLOGY & NEPHROLOGY - ESCI,293,n/a,n/a,0.29,1.43%
4220,Urology Practice,2352-0779,2352-0787,UROLOGY & NEPHROLOGY - ESCI,290,n/a,n/a,0.35,0.00%
4221,Urological Science,1879-5226,1879-5234,UROLOGY & NEPHROLOGY - ESCI,189,n/a,n/a,0.09,100.00%
4222,Advances in Urology,1687-6369,1687-6377,UROLOGY & NEPHROLOGY - ESCI,818,n/a,n/a,0.61,100.00%
4223,Medical Acupuncture,1933-6586,1933-6594,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,338,n/a,n/a,0.41,1.43%
4224,Urology Case Reports,N/A,2214-4420,UROLOGY & NEPHROLOGY - ESCI,576,n/a,n/a,0.16,100.00%
4225,Arab Journal of Urology,2090-598X,2090-5998,UROLOGY & NEPHROLOGY - ESCI,948,n/a,n/a,0.64,67.90%
4226,Asian Journal of Urology,2214-3882,2214-3890,UROLOGY & NEPHROLOGY - ESCI,655,n/a,n/a,0.69,100.00%
4227,Indian Journal of Urology,0970-1591,1998-3824,UROLOGY & NEPHROLOGY - ESCI,"1,220",n/a,n/a,0.4,100.00%
4228,African Journal of Urology,1110-5704,1961-9987,UROLOGY & NEPHROLOGY - ESCI,219,n/a,n/a,0.11,100.00%
4229,Nephrology @ Point of Care,2059-3007,2059-3007,UROLOGY & NEPHROLOGY - ESCI,6,n/a,n/a,0.09,100.00%
4230,Turkish Journal of Urology,N/A,2149-3057,UROLOGY & NEPHROLOGY - ESCI,755,n/a,n/a,0.32,0.00%
4231,Journal of Clinical Urology,2051-4158,2051-4166,UROLOGY & NEPHROLOGY - ESCI,291,n/a,n/a,0.1,2.40%
4232,Journal of Pharmacopuncture,2093-6966,2234-6856,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,409,n/a,n/a,0.59,100.00%
4233,Current Traditional Medicine,2215-0838,2215-0846,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,58,n/a,n/a,0.1,25.00%
4234,Indian Journal of Nephrology,0971-4065,1998-3662,UROLOGY & NEPHROLOGY - ESCI,883,n/a,n/a,0.25,100.00%
4235,European Urology Open Science,2666-1691,2666-1683,UROLOGY & NEPHROLOGY - SCIE,13,n/a,Q4,n/a,80.56%
4236,Journal of Urological Surgery,2148-9580,2148-9580,UROLOGY & NEPHROLOGY - ESCI,51,n/a,n/a,0.06,100.00%
4237,Traditional Medicine Research,2413-3973,2413-3973,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,96,n/a,n/a,0.24,100.00%
4238,Turkish Journal of Nephrology,N/A,2667-4440,UROLOGY & NEPHROLOGY - ESCI,6,n/a,n/a,0.02,0.00%
4239,Research and Reports in Urology,2253-2447,2253-2447,UROLOGY & NEPHROLOGY - ESCI,512,n/a,n/a,0.43,100.00%
4240,Trends in Urology & Mens Health,2044-3730,2044-3749,UROLOGY & NEPHROLOGY - ESCI,80,n/a,n/a,0.05,0.00%
4241,Advances in Integrative Medicine,2212-9626,2212-9634,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,140,n/a,n/a,0.41,45.83%
4242,Journal of Renal Injury Prevention,2345-2781,2345-2781,UROLOGY & NEPHROLOGY - ESCI,444,n/a,n/a,0.2,94.16%
4243,Central European Journal of Urology,2080-4806,2080-4873,UROLOGY & NEPHROLOGY - ESCI,790,n/a,n/a,0.37,0.00%
4244,Current Bladder Dysfunction Reports,1931-7212,1931-7220,UROLOGY & NEPHROLOGY - ESCI,177,n/a,n/a,0.08,4.70%
4245,Deutsche Zeitschrift fur Akupunktur,0415-6412,1439-4359,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,50,n/a,n/a,0.02,0.88%
4246,International Journal of Nephrology,2090-214X,2090-2158,UROLOGY & NEPHROLOGY - ESCI,793,n/a,n/a,0.42,100.00%
4247,Case Reports in Nephrology and Dialysis,2296-9705,2296-9705,UROLOGY & NEPHROLOGY - ESCI,163,n/a,n/a,0.2,100.00%
4248,BMC Complementary Medicine and Therapies,N/A,2662-7671,INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE,241,n/a,Q4,n/a,100.00%
4249,Journal of Acupuncture and Tuina Science,1672-3597,1993-0399,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,169,n/a,n/a,0.14,0.00%
4250,World Journal of Acupuncture-Moxibustion,1003-5257,1972-019X,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,214,n/a,n/a,0.19,2.03%
4251,Archivio Italiano di Urologia e Andrologia,1124-3562,2282-4197,UROLOGY & NEPHROLOGY - ESCI,800,n/a,n/a,0.32,100.00%
4252,Journal of Acupuncture and Meridian Studies,2005-2901,2093-8152,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,778,n/a,n/a,0.45,100.00%
4253,Journal of Ayurveda and Integrative Medicine,0975-9476,0976-2809,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,716,n/a,n/a,0.57,100.00%
4254,Journal of Evidence-Based Integrative Medicine,2515-690X,2515-690X,INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI,"1,260",n/a,n/a,0.78,100.00%
4255,Saudi Journal of Kidney Diseases and Transplantation,1319-2442,2320-3838,UROLOGY & NEPHROLOGY - ESCI,"2,018",n/a,n/a,0.22,100.00%
4256,American Journal of Clinical and Experimental Urology,2330-1910,2330-1910,UROLOGY & NEPHROLOGY - ESCI,400,n/a,n/a,0.67,0.00%
4257,Turkish Nephrology Dialysis and Transplantation Journal,1300-7718,2667-4440,UROLOGY & NEPHROLOGY - ESCI,61,n/a,n/a,0.05,0.00%
4258,Urology Annals,0974-7796,0974-7834,UROLOGY & NEPHROLOGY - ESCI,795,n/a,n/a,0.29,100.00%
4259,CIRCULATION,0009-7322,1524-4539,PERIPHERAL VASCULAR DISEASE - SCIE,"190,210",29.69,Q1,6.16,15.19%
4260,LANCET INFECTIOUS DISEASES,1473-3099,1474-4457,INFECTIOUS DISEASES - SCIE,"42,483",25.07,Q1,6.02,20.89%
4261,CIRCULATION RESEARCH,0009-7330,1524-4571,PERIPHERAL VASCULAR DISEASE - SCIE,"65,425",17.37,Q1,3.54,12.65%
4262,Lancet HIV,2352-3018,2352-3018,INFECTIOUS DISEASES - SCIE,"5,368",12.77,Q1,2.99,12.81%
4263,HYPERTENSION,0194-911X,1524-4563,PERIPHERAL VASCULAR DISEASE - SCIE,"44,350",10.19,Q1,1.94,12.36%
4264,ANGIOGENESIS,0969-6970,1573-7209,PERIPHERAL VASCULAR DISEASE - SCIE,"4,305",9.60,Q1,2.26,31.71%
4265,CLINICAL INFECTIOUS DISEASES,1058-4838,1537-6591,INFECTIOUS DISEASES - SCIE,"89,276",9.08,Q1,2.13,28.77%
4266,JOURNAL OF TRAVEL MEDICINE,1195-1982,1708-8305,INFECTIOUS DISEASES - SCIE,"5,260",8.49,Q1,1.33,12.10%
4267,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1079-5642,1524-4636,PERIPHERAL VASCULAR DISEASE - SCIE,"38,412",8.31,Q1,1.72,12.94%
4268,CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,1469-0691,INFECTIOUS DISEASES - SCIE,"24,871",8.07,Q1,1.61,13.48%
4269,STROKE,0039-2499,1524-4628,PERIPHERAL VASCULAR DISEASE - SCIE,"78,912",7.91,Q1,1.81,9.99%
4270,Emerging Microbes & Infections,N/A,2222-1751,INFECTIOUS DISEASES - SCIE,"8,988",7.16,Q1,1.37,99.67%
4271,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1078-5884,1532-2165,PERIPHERAL VASCULAR DISEASE - SCIE,"12,166",7.07,Q1,1.75,4.66%
4272,Journal of Stroke,2287-6391,2287-6405,PERIPHERAL VASCULAR DISEASE - SCIE,"1,692",6.97,Q1,1.38,100.00%
4273,EMERGING INFECTIOUS DISEASES,1080-6040,1080-6059,INFECTIOUS DISEASES - SCIE,"44,051",6.88,Q1,1.48,100.00%
4274,Eurosurveillance,1025-496X,1560-7917,INFECTIOUS DISEASES - SCIE,"15,123",6.31,Q1,1.52,100.00%
4275,Travel Medicine and Infectious Disease,1477-8939,1873-0442,INFECTIOUS DISEASES - SCIE,"5,034",6.21,Q1,1.21,20.24%
4276,JOURNAL OF INFECTION,0163-4453,1532-2742,INFECTIOUS DISEASES - SCIE,"15,496",6.07,Q1,1.24,17.49%
4277,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,0891-5520,1557-9824,INFECTIOUS DISEASES - SCIE,"4,090",5.98,Q1,1.42,3.70%
4278,Virulence,2150-5594,2150-5608,INFECTIOUS DISEASES - SCIE,"5,784",5.88,Q1,1.09,99.67%
4279,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639,1618-131X,INFECTIOUS DISEASES - SCIE,"7,425",5.84,Q1,1.77,23.94%
4280,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933,1538-7836,PERIPHERAL VASCULAR DISEASE - SCIE,"29,353",5.82,Q1,1.13,22.59%
4281,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,0305-7453,1460-2091,INFECTIOUS DISEASES - SCIE,"38,715",5.79,Q1,1.51,15.68%
4282,Thrombosis Journal,1477-9560,1477-9560,PERIPHERAL VASCULAR DISEASE - SCIE,"1,137",5.50,Q1,0.72,100.00%
4283,Journal of the International AIDS Society,N/A,1758-2652,INFECTIOUS DISEASES - SCIE,"6,474",5.40,Q1,1.15,100.00%
4284,CURRENT HYPERTENSION REPORTS,1522-6417,1534-3111,PERIPHERAL VASCULAR DISEASE - SCIE,"4,458",5.37,Q1,0.81,10.77%
4285,Infectious Diseases and Therapy,2193-8229,2193-6382,INFECTIOUS DISEASES - SCIE,"1,331",5.32,Q1,1.06,100.00%
4286,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,0924-8579,1872-7913,INFECTIOUS DISEASES - SCIE,"20,409",5.28,Q1,1.27,5.82%
4287,International Journal of Stroke,1747-4930,1747-4949,PERIPHERAL VASCULAR DISEASE - SCIE,"6,321",5.27,Q1,1.21,11.67%
4288,THROMBOSIS AND HAEMOSTASIS,0340-6245,2567-689X,PERIPHERAL VASCULAR DISEASE - SCIE,"19,924",5.25,Q1,1.17,10.16%
4289,JOURNAL OF INFECTIOUS DISEASES,0022-1899,1537-6613,INFECTIOUS DISEASES - SCIE,"54,782",5.23,Q1,1.4,20.40%
4290,ATHEROSCLEROSIS,0021-9150,1879-1484,PERIPHERAL VASCULAR DISEASE - SCIE,"27,929",5.16,Q1,1.06,15.08%
4291,Current Atherosclerosis Reports,1523-3804,1534-6242,PERIPHERAL VASCULAR DISEASE - SCIE,"3,215",5.11,Q1,0.94,12.78%
4292,Expert Review of Anti-Infective Therapy,1478-7210,1744-8336,INFECTIOUS DISEASES - SCIE,"5,263",5.09,Q1,0.75,5.19%
4293,ACS Infectious Diseases,2373-8227,N/A,INFECTIOUS DISEASES - SCIE,"3,865",5.08,Q1,1.47,8.03%
4294,AIDS PATIENT CARE AND STDS,1087-2914,1557-7449,INFECTIOUS DISEASES - SCIE,"4,231",5.08,Q1,1.43,1.18%
4295,Current HIV/AIDS Reports,1548-3568,1548-3576,INFECTIOUS DISEASES - SCIE,"2,188",5.07,Q1,1.37,13.29%
4296,Transboundary and Emerging Diseases,1865-1674,1865-1682,INFECTIOUS DISEASES - SCIE,"7,104",5.01,Q1,2.07,13.67%
4297,Journal of Atherosclerosis and Thrombosis,1340-3478,1880-3873,PERIPHERAL VASCULAR DISEASE - SCIE,"4,282",4.93,Q1,0.88,99.65%
4298,CURRENT OPINION IN INFECTIOUS DISEASES,0951-7375,1473-6527,INFECTIOUS DISEASES - SCIE,"4,522",4.92,Q2,0.81,2.14%
4299,Antimicrobial Resistance and Infection Control,2047-2994,2047-2994,INFECTIOUS DISEASES - SCIE,"3,629",4.89,Q2,1.19,100.00%
4300,JOURNAL OF HYPERTENSION,0263-6352,1473-5598,PERIPHERAL VASCULAR DISEASE - SCIE,"19,652",4.84,Q2,0.97,4.81%
4301,CURRENT OPINION IN LIPIDOLOGY,0957-9672,1473-6535,PERIPHERAL VASCULAR DISEASE - SCIE,"4,741",4.78,Q2,0.65,3.16%
4302,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539,PERIPHERAL VASCULAR DISEASE - SCIE,"30,771",4.73,Q2,1.1,3.27%
4303,Antibiotics-Basel,2079-6382,2079-6382,INFECTIOUS DISEASES - SCIE,"3,730",4.64,Q2,1,100.00%
4304,Infectious Diseases of Poverty,2095-5162,2049-9957,INFECTIOUS DISEASES - SCIE,"3,434",4.52,Q2,1.03,100.00%
4305,JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,1684-1182,1995-9133,INFECTIOUS DISEASES - SCIE,"4,936",4.40,Q2,0.83,100.00%
4306,Epidemics,1755-4365,1878-0067,INFECTIOUS DISEASES - SCIE,"1,395",4.40,Q2,1.19,100.00%
4307,Influenza and Other Respiratory Viruses,1750-2640,1750-2659,INFECTIOUS DISEASES - SCIE,"3,470",4.38,Q2,1.02,100.00%
4308,Current Opinion in HIV and AIDS,1746-630X,1746-6318,INFECTIOUS DISEASES - SCIE,"3,006",4.28,Q2,0.57,4.86%
4309,JOURNAL OF VASCULAR SURGERY,0741-5214,N/A,PERIPHERAL VASCULAR DISEASE - SCIE,"31,991",4.27,Q2,1.16,2.70%
4310,SEMINARS IN THROMBOSIS AND HEMOSTASIS,0094-6176,1098-9064,PERIPHERAL VASCULAR DISEASE - SCIE,"5,313",4.18,Q2,0.91,3.00%
4311,AIDS,0269-9370,1473-5571,INFECTIOUS DISEASES - SCIE,"20,317",4.18,Q2,1.09,7.79%
4312,MEDICAL MYCOLOGY,1369-3786,1460-2709,INFECTIOUS DISEASES - SCIE,"6,503",4.08,Q2,1.24,5.85%
4313,Journal of Global Antimicrobial Resistance,2213-7165,2213-7173,INFECTIOUS DISEASES - SCIE,"2,904",4.04,Q2,0.86,51.20%
4314,Infection and Drug Resistance,1178-6973,1178-6973,INFECTIOUS DISEASES - SCIE,"3,973",4.00,Q2,0.94,100.00%
4315,THROMBOSIS RESEARCH,0049-3848,1879-2472,PERIPHERAL VASCULAR DISEASE - SCIE,"16,275",3.94,Q2,0.76,7.67%
4316,JOURNAL OF HOSPITAL INFECTION,0195-6701,1532-2939,INFECTIOUS DISEASES - SCIE,"12,760",3.93,Q2,1.09,12.02%
4317,HYPERTENSION RESEARCH,0916-9636,1348-4214,PERIPHERAL VASCULAR DISEASE - SCIE,"6,915",3.87,Q2,0.79,8.79%
4318,Open Forum Infectious Diseases,2328-8957,2328-8957,INFECTIOUS DISEASES - SCIE,"6,969",3.84,Q2,0.77,100.00%
4319,One Health,N/A,2352-7714,INFECTIOUS DISEASES - SCIE,829,3.80,Q2,1.27,100.00%
4320,Ticks and Tick-Borne Diseases,1877-959X,1877-9603,INFECTIOUS DISEASES - SCIE,"4,726",3.74,Q2,1.02,9.56%
4321,Journal of Clinical Hypertension,1524-6175,1751-7176,PERIPHERAL VASCULAR DISEASE - SCIE,"5,391",3.74,Q2,0.66,12.94%
4322,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,1525-4135,1077-9450,INFECTIOUS DISEASES - SCIE,"15,629",3.73,Q2,0.94,12.10%
4323,JOURNAL OF VIRAL HEPATITIS,1352-0504,1365-2893,INFECTIOUS DISEASES - SCIE,"5,219",3.73,Q2,0.95,10.52%
4324,Current Infectious Disease Reports,1523-3847,1534-3146,INFECTIOUS DISEASES - SCIE,"1,737",3.73,Q2,0.64,2.96%
4325,Journal of Infection and Public Health,1876-0341,1876-035X,INFECTIOUS DISEASES - SCIE,"3,870",3.72,Q2,0.95,100.00%
4326,Journal of Virus Eradication,2055-6640,2055-6659,INFECTIOUS DISEASES - SCIE,720,3.70,Q2,0.67,9.80%
4327,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1201-9712,1878-3511,INFECTIOUS DISEASES - SCIE,"17,784",3.62,Q2,0.91,100.00%
4328,ANGIOLOGY,0003-3197,1940-1574,PERIPHERAL VASCULAR DISEASE - SCIE,"3,724",3.62,Q2,0.67,1.90%
4329,INFECTION,0300-8126,1439-0973,INFECTIOUS DISEASES - SCIE,"5,278",3.55,Q2,0.87,21.19%
4330,SEXUALLY TRANSMITTED INFECTIONS,1368-4973,1472-3263,INFECTIOUS DISEASES - SCIE,"5,335",3.52,Q3,0.96,25.16%
4331,MICROVASCULAR RESEARCH,0026-2862,1095-9319,PERIPHERAL VASCULAR DISEASE - SCIE,"4,877",3.51,Q2,0.82,4.64%
4332,JOURNAL OF ENDOVASCULAR THERAPY,1526-6028,1545-1550,PERIPHERAL VASCULAR DISEASE - SCIE,"4,318",3.49,Q2,1.04,11.58%
4333,JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,1051-0443,1535-7732,PERIPHERAL VASCULAR DISEASE - SCIE,"11,063",3.46,Q2,0.77,3.81%
4334,SHOCK,1073-2322,1540-0514,PERIPHERAL VASCULAR DISEASE - SCIE,"9,489",3.45,Q2,1.08,5.11%
4335,INFECTION AND IMMUNITY,0019-9567,1098-5522,INFECTIOUS DISEASES - SCIE,"50,234",3.44,Q3,0.9,15.97%
4336,Microbial Drug Resistance,1076-6294,1931-8448,INFECTIOUS DISEASES - SCIE,"4,168",3.43,Q3,0.92,2.33%
4337,Infectious Diseases,2374-4235,2374-4243,INFECTIOUS DISEASES - SCIE,"1,772",3.40,Q3,0.64,12.04%
4338,INFECTION GENETICS AND EVOLUTION,1567-1348,1567-7257,INFECTIOUS DISEASES - SCIE,"11,716",3.34,Q3,0.89,6.29%
4339,Diabetes & Vascular Disease Research,1479-1641,1752-8984,PERIPHERAL VASCULAR DISEASE - SCIE,"1,761",3.29,Q2,0.68,35.83%
4340,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,0934-9723,1435-4373,INFECTIOUS DISEASES - SCIE,"11,581",3.27,Q3,0.77,20.08%
4341,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,0899-823X,1559-6834,INFECTIOUS DISEASES - SCIE,"12,884",3.25,Q3,0.93,9.25%
4342,VASCULAR MEDICINE,1358-863X,1477-0377,PERIPHERAL VASCULAR DISEASE - SCIE,"2,270",3.24,Q2,0.62,4.49%
4343,ATHEROSCLEROSIS SUPPLEMENTS,1567-5688,1878-5050,PERIPHERAL VASCULAR DISEASE - SCIE,849,3.24,Q2,0.51,26.67%
4344,HIV MEDICINE,1464-2662,1468-1293,INFECTIOUS DISEASES - SCIE,"2,926",3.18,Q3,0.97,20.32%
4345,Pathogens and Disease,2049-632X,2049-632X,INFECTIOUS DISEASES - SCIE,"2,424",3.17,Q3,0.53,9.13%
4346,Journal of the Pediatric Infectious Diseases Society,2048-7193,2048-7207,INFECTIOUS DISEASES - SCIE,"1,986",3.16,Q3,1.2,7.57%
4347,BMC INFECTIOUS DISEASES,N/A,1471-2334,INFECTIOUS DISEASES - SCIE,"24,042",3.09,Q3,0.82,100.00%
4348,JOURNAL OF HUMAN HYPERTENSION,0950-9240,1476-5527,PERIPHERAL VASCULAR DISEASE - SCIE,"5,414",3.01,Q3,0.57,8.01%
4349,MALARIA JOURNAL,N/A,1475-2875,INFECTIOUS DISEASES - SCIE,"15,906",2.98,Q3,0.93,100.00%
4350,AMERICAN JOURNAL OF INFECTION CONTROL,0196-6553,1527-3296,INFECTIOUS DISEASES - SCIE,"12,101",2.92,Q3,0.8,7.74%
4351,Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,2210-7789,2210-7789,PERIPHERAL VASCULAR DISEASE - SCIE,"1,981",2.90,Q3,0.72,8.01%
4352,CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,1062-4821,1473-6543,PERIPHERAL VASCULAR DISEASE - SCIE,"3,953",2.89,Q3,0.59,3.42%
4353,Journal of Vascular Surgery-Venous and Lymphatic Disorders,2213-333X,2213-333X,PERIPHERAL VASCULAR DISEASE - SCIE,"1,769",2.86,Q3,0.82,4.28%
4354,BLOOD PRESSURE,0803-7051,1651-1999,PERIPHERAL VASCULAR DISEASE - SCIE,"1,390",2.84,Q3,0.5,11.11%
4355,SEXUALLY TRANSMITTED DISEASES,0148-5717,1537-4521,INFECTIOUS DISEASES - SCIE,"6,027",2.83,Q3,0.65,6.24%
4356,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,0732-8893,1879-0070,INFECTIOUS DISEASES - SCIE,"8,091",2.80,Q3,0.74,6.81%
4357,INTERNATIONAL ANGIOLOGY,0392-9590,1827-1839,PERIPHERAL VASCULAR DISEASE - SCIE,"1,623",2.79,Q3,0.45,0.00%
4358,CEREBROVASCULAR DISEASES,1015-9770,1421-9786,PERIPHERAL VASCULAR DISEASE - SCIE,"6,560",2.76,Q3,0.71,9.62%
4359,SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,1608-9693,2078-6751,INFECTIOUS DISEASES - SCIE,449,2.74,Q3,0.43,100.00%
4360,Current Vascular Pharmacology,1570-1611,1875-6212,PERIPHERAL VASCULAR DISEASE - SCIE,"2,357",2.72,Q3,0.62,0.00%
4361,Sexual Health,1448-5028,1449-8987,INFECTIOUS DISEASES - SCIE,"1,742",2.71,Q3,0.67,19.68%
4362,Zoonoses and Public Health,1863-1959,1863-2378,INFECTIOUS DISEASES - SCIE,"2,815",2.70,Q3,1.05,12.20%
4363,MICROBES AND INFECTION,1286-4579,1769-714X,INFECTIOUS DISEASES - SCIE,"8,367",2.70,Q3,0.64,11.52%
4364,AMERICAN JOURNAL OF HYPERTENSION,0895-7061,1941-7225,PERIPHERAL VASCULAR DISEASE - SCIE,"10,492",2.69,Q3,0.62,9.35%
4365,KIDNEY & BLOOD PRESSURE RESEARCH,1420-4096,1423-0143,PERIPHERAL VASCULAR DISEASE - SCIE,"2,671",2.69,Q3,0.64,100.00%
4366,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1053-0770,1532-8422,PERIPHERAL VASCULAR DISEASE - SCIE,"7,080",2.63,Q3,0.58,2.07%
4367,MICROCIRCULATION,1073-9688,1549-8719,PERIPHERAL VASCULAR DISEASE - SCIE,"2,997",2.63,Q3,0.59,12.56%
4368,Mediterranean Journal of Hematology and Infectious Diseases,N/A,2035-3006,INFECTIOUS DISEASES - SCIE,"1,321",2.58,Q3,0.45,100.00%
4369,AIDS REVIEWS,1139-6121,1698-6997,INFECTIOUS DISEASES - SCIE,633,2.50,Q3,0.37,0.00%
4370,Canadian Journal of Infectious Diseases & Medical Microbiology,1712-9532,1918-1493,INFECTIOUS DISEASES - SCIE,"1,471",2.47,Q3,0.48,100.00%
4371,EPIDEMIOLOGY AND INFECTION,0950-2688,1469-4409,INFECTIOUS DISEASES - SCIE,"11,763",2.45,Q3,0.76,69.98%
4372,International Journal of Hypertension,2090-0384,2090-0392,PERIPHERAL VASCULAR DISEASE - SCIE,"1,219",2.42,Q3,0.43,100.00%
4373,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,1076-0296,1938-2723,PERIPHERAL VASCULAR DISEASE - SCIE,"2,708",2.39,Q3,0.44,81.50%
4374,CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,1386-0291,1875-8622,PERIPHERAL VASCULAR DISEASE - SCIE,"2,695",2.38,Q3,0.5,0.00%
4375,INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,1027-3719,1815-7920,INFECTIOUS DISEASES - SCIE,"8,150",2.37,Q4,0.65,6.37%
4376,JOURNAL OF THROMBOSIS AND THROMBOLYSIS,0929-5305,1573-742X,PERIPHERAL VASCULAR DISEASE - SCIE,"4,446",2.30,Q3,0.53,12.81%
4377,Journal of Vascular Access,1129-7298,1724-6032,PERIPHERAL VASCULAR DISEASE - SCIE,"2,249",2.28,Q4,0.33,5.09%
4378,AIDS Research and Therapy,1742-6405,1742-6405,INFECTIOUS DISEASES - SCIE,"1,084",2.25,Q4,0.55,100.00%
4379,Transplant Infectious Disease,1398-2273,1399-3062,INFECTIOUS DISEASES - SCIE,"3,584",2.23,Q4,0.56,3.61%
4380,JOURNAL OF INFECTION AND CHEMOTHERAPY,1341-321X,1437-7780,INFECTIOUS DISEASES - SCIE,"3,854",2.21,Q4,0.59,8.56%
4381,AIDS RESEARCH AND HUMAN RETROVIRUSES,0889-2229,1931-8405,INFECTIOUS DISEASES - SCIE,"4,756",2.21,Q4,0.52,5.32%
4382,MEDECINE ET MALADIES INFECTIEUSES,0399-077X,N/A,INFECTIOUS DISEASES - SCIE,"2,215",2.15,Q4,0.4,3.31%
4383,Surgical Infections,1096-2964,1557-8674,INFECTIOUS DISEASES - SCIE,"3,093",2.15,Q4,0.72,2.34%
4384,Journal of Stroke & Cerebrovascular Diseases,1052-3057,1532-8511,PERIPHERAL VASCULAR DISEASE - SCIE,"9,223",2.14,Q4,0.48,2.28%
4385,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,1557-7759,INFECTIOUS DISEASES - SCIE,"4,957",2.13,Q4,0.77,5.85%
4386,PEDIATRIC INFECTIOUS DISEASE JOURNAL,0891-3668,1532-0987,INFECTIOUS DISEASES - SCIE,"13,771",2.13,Q4,0.73,4.00%
4387,HYPERTENSION IN PREGNANCY,1064-1955,1525-6065,PERIPHERAL VASCULAR DISEASE - SCIE,"1,515",2.11,Q4,0.68,1.53%
