ID,Name,ISSN
1,"	N Engl J Med","	0028-4793"
4488,"	Obstet Gynecol","	0029-7844"
4489,"	Am J Health Syst Pharm","	1079-2082"
4490,"	Acta Gastroenterol Belg","	1784-3227"
4491,"	PLoS One","	1932-6203"
4492,"	Mil Med","	0026-4075"
4493,"	J Vasc Surg","	0741-5214"
4494,"	J Bras Nefrol","	0101-2800"
4495,"	Pediatr Crit Care Med","	1529-7535"
4496,"	BJU Int","	1464-4096"
4497,"	J Healthc Qual","	1062-2551"
4498,"	Phys Ther","	0031-9023"
4499,"	Surg Endosc","	0930-2794"
4500,"	J Pain Symptom Manage","	0885-3924"
4501,"	CNS Drugs","	1172-7047"
4502,"	Clin Infect Dis","	1058-4838"
4503,"	J Racial Ethn Health Disparities","	2196-8837"
4504,"	Cancer","	0008-543X"
4505,"	J Interv Card Electrophysiol","	1383-875X"
4506,"	J Pak Med Assoc","	0030-9982"
4507,"	J Thorac Cardiovasc Surg","	0022-5223"
4508,"	Br J Neurosurg","	0268-8697"
4509,"	J Pediatr Orthop","	0271-6798"
4510,"	Am J Health Promot","	0890-1171"
4511,"	Diagn Microbiol Infect Dis","	0732-8893"
4512,"	Immunotherapy","	1750-743x"
4513,"	Crit Care Med","	0090-3493"
4514,"	Pm r","	1934-1482"
4515,"	Eur J Nucl Med Mol Imaging","	1619-7070"
4516,"	J Pediatr Nurs","	0882-5963"
4517,"	J Stroke Cerebrovasc Dis","	1052-3057"
4518,"	BMJ Open","	2044-6055"
4519,"	BMJ Open","	2044-6055"
4520,"	J Rheumatol","	0315-162X"
4521,"	Expert Opin Pharmacother","	1465-6566"
4522,"	Int J Clin Pract","	1368-5031"
4523,"	Surg Obes Relat Dis","	1550-7289"
4524,"	Am J Med","	0002-9343"
4525,"	Prog Transplant","	1526-9248"
4526,"	Public Health Nurs","	0737-1209"
4527,"	Eur J Orthop Surg Traumatol","	1633-8065"
4528,"	Ann Rheum Dis","	0003-4967"
4529,"	Urol Oncol","	1078-1439"
4530,"	J Drugs Dermatol","	1545-9616"
4531,"	BMC Pregnancy Childbirth","	1471-2393"
4532,"	Eur J Pediatr","	0340-6199"
4533,"	BMC Pediatr","	1471-2431"
4534,"	J Oncol Pharm Pract","	1078-1552"
4535,"	Pain Med","	1526-2375"
4536,"	Breast","	0960-9776"
4537,"	J Hosp Med","	1553-5592"
4538,"	Clin Exp Rheumatol","	0392-856X"
4539,"	BMJ Open","	2044-6055"
4540,"	Medicine (Baltimore)","	0025-7974"
4541,"	South Med J","	0038-4348"
4542,"	Eur Radiol","	0938-7994"
4543,"	Arch Gynecol Obstet","	0932-0067"
4544,"	ANZ J Surg","	1445-1433"
4545,"	J Neurosurg Spine","	1547-5646"
4546,"	Mult Scler Relat Disord","	2211-0348"
4547,"	Int J Med Inform","	1386-5056"
4548,"	Clin Drug Investig","	1173-2563"
4549,"	Clin Nutr","	0261-5614"
4550,"	Sao Paulo Med J","	1516-3180"
4551,"	Pancreas","	0885-3177"
4552,"	J Knee Surg","	1538-8506"
4553,"	J Am Pharm Assoc (2003)","	1086-5802"
4554,"	BMC Fam Pract","	1471-2296"
4555,"	Eur Rev Med Pharmacol Sci","	1128-3602"
4556,"	Circulation","	0009-7322"
4557,"	Br Dent J","	0007-0610"
4558,"	Jt Comm J Qual Patient Saf","	1553-7250"
4559,"	J Neurosurg","	0022-3085"
4560,"	Health Policy","	0168-8510"
4561,"	Otolaryngol Head Neck Surg","	0194-5998"
4562,"	West J Emerg Med","	1936-900X"
4563,"	Orthopedics","	0147-7447"
4564,"	Otolaryngol Head Neck Surg","	0194-5998"
4565,"	South Med J","	0038-4348"
4566,"	J Heart Lung Transplant","	1053-2498"
4567,"	BMC Palliat Care","	1472-684x"
4568,"	Pacing Clin Electrophysiol","	0147-8389"
4569,"	J Neurosurg Spine","	1547-5646"
4570,"	Am J Ophthalmol","	0002-9394"
4571,"	Diabetes Care","	0149-5992"
4572,"	Int J Clin Pract","	1368-5031"
4573,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
4574,"	J Am Coll Cardiol","	0735-1097"
4575,"	Am J Perinatol","	0735-1631"
4576,"	Pain","	0304-3959"
4577,"	J Psychosom Obstet Gynaecol","	0167-482X"
4578,"	Midwifery","	0266-6138"
4579,"	Shock","	1073-2322"
4580,"	J Am Geriatr Soc","	0002-8614"
4581,"	J Minim Invasive Gynecol","	1553-4650"
4582,"	Clin Med Res","	1539-4182"
4583,"	Curr Med Res Opin","	0300-7995"
4584,"	Pediatr Radiol","	0301-0449"
4585,"	J Pediatr Surg","	0022-3468"
4586,"	J Minim Invasive Gynecol","	1553-4650"
4587,"	BMJ Open","	2044-6055"
4588,"	Subst Use Misuse","	1082-6084"
4589,"	Perm J","	1552-5767"
4590,"	J Manag Care Spec Pharm","	"
4591,"	J Gen Intern Med","	0884-8734"
4592,"	Vet Anaesth Analg","	1467-2987"
4593,"	Wound Repair Regen","	1067-1927"
4594,"	J Eur Acad Dermatol Venereol","	0926-9959"
4595,"	J Nurs Scholarsh","	1527-6546"
4596,"	Laryngoscope","	0023-852x"
4597,"	Eur J Pediatr","	0340-6199"
4598,"	J Gastrointest Cancer","	"
4599,"	BMC Infect Dis","	1471-2334"
4600,"	Rev Bras Anestesiol","	0034-7094"
4601,"	Equine Vet J","	0425-1644"
4602,"	J Neurosurg","	0022-3085"
4603,"	J Emerg Med","	0736-4679"
4604,"	Cmaj","	0820-3946"
4605,"	Ann Pharmacother","	1060-0280"
4606,"	J Med Econ","	1369-6998"
4607,"	J Orthop Trauma","	0890-5339"
4608,"	Zhonghua Wei Chang Wai Ke Za Zhi","	1671-0274"
4609,"	Am J Manag Care","	1088-0224"
4610,"	MCN Am J Matern Child Nurs","	0361-929x"
4611,"	Allergy Asthma Proc","	1088-5412"
4612,"	J Comp Eff Res","	2042-6305"
4613,"	Beijing Da Xue Xue Bao Yi Xue Ban","	1671-167X"
4614,"	BMC Complement Altern Med","	1472-6882"
4615,"	Support Care Cancer","	0941-4355"
4616,"	Zhonghua Wei Chang Wai Ke Za Zhi","	1671-0274"
4617,"	Hosp Pediatr","	2154-1671"
4618,"	BMC Pediatr","	1471-2431"
4619,"	Am J Ther","	1075-2765"
4620,"	J Ultrasound Med","	0278-4297"
4621,"	Asian Pac J Cancer Prev","	1513-7368"
4622,"	Crit Care Med","	0090-3493"
4623,"	J Asthma","	0277-0903"
4624,"	Jama","	0098-7484"
4625,"	BMC Urol","	1471-2490"
4626,"	Tierarztl Prax Ausg K Kleintiere Heimtiere","	1434-1239"
4627,"	Clin Nephrol","	0301-0430"
4628,"	J Orthop Surg Res","	1749-799x"
4629,"	Radiology","	0033-8419"
4630,"	Respir Res","	1465-9921"
4631,"	Vasc Med","	1358-863x"
4632,"	J Oncol Pract","	1554-7477"
4633,"	Diagn Microbiol Infect Dis","	0732-8893"
4634,"	Matern Child Health J","	1092-7875"
4635,"	J Nurs Educ","	0148-4834"
4636,"	J Med Internet Res","	1439-4456"
4637,"	Dig Dis Sci","	0163-2116"
4638,"	Am J Prev Med","	0749-3797"
4639,"	Ann Am Thorac Soc","	2325-6621"
4640,"	BMC Cancer","	1471-2407"
4641,"	Am Surg","	0003-1348"
4642,"	PLoS One","	1932-6203"
4643,"	J Gen Intern Med","	0884-8734"
4644,"	J Clin Pharm Ther","	0269-4727"
4645,"	Ostomy Wound Manage","	0889-5899"
4646,"	Perm J","	1552-5767"
4647,"	J Am Coll Dent","	0002-7979"
4648,"	Am J Emerg Med","	0735-6757"
4649,"	Crit Care Med","	0090-3493"
4650,"	Urology","	0090-4295"
4651,"	Prim Care Diabetes","	1878-0210"
4652,"	BMJ Open","	2044-6055"
4653,"	Eye (Lond)","	0950-222X"
4654,"	Spine (Phila Pa 1976)","	0362-2436"
4655,"	J Pediatr Adolesc Gynecol","	1083-3188"
4656,"	PLoS One","	1932-6203"
4657,"	Crit Care Med","	0090-3493"
4658,"	Scand J Trauma Resusc Emerg Med","	1757-7241"
4659,"	JAMA Netw Open","	2574-3805"
4660,"	Curr Probl Diagn Radiol","	0363-0188"
4661,"	Can J Anaesth","	0832-610x"
4662,"	Joint Bone Spine","	1297-319x"
4663,"	Am J Cardiol","	0002-9149"
4664,"	Epilepsia","	0013-9580"
4665,"	J Am Assoc Nurse Pract","	2327-6886"
4666,"	West J Emerg Med","	1936-900X"
4667,"	Emerg Med J","	1472-0205"
4668,"	J Opioid Manag","	1551-7489"
4669,"	Acta Paediatr","	0803-5253"
4670,"	Pituitary","	1386-341x"
4671,"	Clin Infect Dis","	1058-4838"
4672,"	Chin Med J (Engl)","	0366-6999"
4673,"	Sex Health","	1448-5028"
4674,"	Am J Emerg Med","	0735-6757"
4675,"	Drug Alcohol Depend","	0376-8716"
4676,"	J Vasc Surg","	0741-5214"
4677,"	PLoS One","	1932-6203"
4678,"	Clin Gastroenterol Hepatol","	1542-3565"
4679,"	Vet Rec","	0042-4900"
4680,"	Einstein (Sao Paulo)","	1679-4508"
4681,"	BMC Emerg Med","	1471-227x"
4682,"	BMC Health Serv Res","	1472-6963"
4683,"	Eur J Gastroenterol Hepatol","	0954-691x"
4684,"	Dent Traumatol","	1600-4469"
4685,"	Radiology","	0033-8419"
4686,"	Gastrointest Endosc","	0016-5107"
4687,"	J Hum Lact","	0890-3344"
4688,"	Am J Perinatol","	0735-1631"
4689,"	BMC Nephrol","	1471-2369"
4690,"	J Am Geriatr Soc","	0002-8614"
4691,"	Scand J Gastroenterol","	0036-5521"
4692,"	Eur Neurol","	0014-3022"
4693,"	Crit Care","	1364-8535"
4694,"	Sex Transm Dis","	0148-5717"
4695,"	Nutr Clin Pract","	0884-5336"
4696,"	Crit Care Med","	0090-3493"
4697,"	Qual Manag Health Care","	1063-8628"
4698,"	Emerg Med J","	1472-0205"
4699,"	Hypertension","	0194-911X"
4700,"	PLoS One","	1932-6203"
4701,"	Am J Med","	0002-9343"
4702,"	Am J Infect Control","	0196-6553"
4703,"	World J Gastroenterol","	1007-9327"
4704,"	J ect","	1095-0680"
4705,"	Crit Care Med","	0090-3493"
4706,"	South Med J","	0038-4348"
4707,"	Psychiatry Res","	0165-1781"
4708,"	Int J Pediatr Otorhinolaryngol","	0165-5876"
4709,"	JAMA Netw Open","	2574-3805"
4710,"	Neurologist","	1074-7931"
4711,"	J Manag Care Pharm","	1083-4087"
4712,"	Med Care","	0025-7079"
4713,"	Ann Pharmacother","	1060-0280"
4714,"	Am Surg","	0003-1348"
4715,"	Pituitary","	1386-341x"
4716,"	Intern Med J","	1444-0903"
4717,"	J Clin Neurosci","	0967-5868"
4718,"	Ophthalmology","	0161-6420"
4719,"	Clin Orthop Relat Res","	0009-921X"
4720,"	Aliment Pharmacol Ther","	0269-2813"
4721,"	Med Care","	0025-7079"
4722,"	Paediatr Anaesth","	1155-5645"
4723,"	Eur Spine J","	0940-6719"
4724,"	Lancet Diabetes Endocrinol","	2213-8587"
4725,"	Clin Gastroenterol Hepatol","	1542-3565"
4726,"	Pain Physician","	1533-3159"
4727,"	Appl Nurs Res","	0897-1897"
4728,"	Pediatr Blood Cancer","	1545-5009"
4729,"	J Midwifery Womens Health","	1526-9523"
4730,"	Perm J","	1552-5767"
4731,"	J Pediatr Urol","	1477-5131"
4732,"	Intensive Care Med","	0342-4642"
4733,"	Health Serv Res","	0017-9124"
4734,"	Orv Hetil","	0030-6002"
4735,"	Acad Pediatr","	1876-2859"
4736,"	Indian J Med Res","	0971-5916"
4737,"	J Oncol Pharm Pract","	1078-1552"
4738,"	BMC Emerg Med","	1471-227x"
4739,"	Pain Med","	1526-2375"
4740,"	Yonsei Med J","	0513-5796"
4741,"	J Antimicrob Chemother","	0305-7453"
4742,"	J Child Adolesc Psychopharmacol","	1044-5463"
4743,"	Anesthesiology","	0003-3022"
4744,"	Subst Abus","	0889-7077"
4745,"	Postgrad Med","	0032-5481"
4746,"	Aten Primaria","	0212-6567"
4747,"	Perm J","	1552-5767"
4748,"	Ann Thorac Surg","	0003-4975"
4749,"	Support Care Cancer","	0941-4355"
4750,"	Pediatr Dent","	0164-1263"
4751,"	Schizophr Res","	0920-9964"
4752,"	J Med Internet Res","	1439-4456"
4753,"	J Trauma Acute Care Surg","	2163-0755"
4754,"	Int J Nurs Stud","	0020-7489"
4755,"	Ann Thorac Surg","	0003-4975"
4756,"	Cancer Chemother Pharmacol","	0344-5704"
4757,"	J Manag Care Pharm","	1083-4087"
4758,"	Anesthesiology","	0003-3022"
4759,"	Neurol Sci","	1590-1874"
4760,"	Clin J Oncol Nurs","	1092-1095"
4761,"	J Burn Care Res","	1559-047x"
4762,"	PLoS One","	1932-6203"
4763,"	Fertil Steril","	0015-0282"
4764,"	Med Care","	0025-7079"
4765,"	Drug Saf","	0114-5916"
4766,"	Eat Behav","	1471-0153"
4767,"	Endocr Pract","	1530-891X"
4768,"	Trials","	1745-6215"
4769,"	Epidemiol Infect","	0950-2688"
4770,"	Invest Ophthalmol Vis Sci","	0146-0404"
4771,"	Female Pelvic Med Reconstr Surg","	2151-8378"
4772,"	J Eur Acad Dermatol Venereol","	0926-9959"
4773,"	Rev Esp Salud Publica","	1135-5727"
4774,"	Circ Heart Fail","	1941-3289"
4775,"	Acad Pediatr","	1876-2859"
4776,"	Clin Nurse Spec","	0887-6274"
4777,"	Int J Hyperthermia","	0265-6736"
4778,"	J Public Health (Oxf)","	1741-3842"
4779,"	Saudi Med J","	0379-5284"
4780,"	South Med J","	0038-4348"
4781,"	South Med J","	0038-4348"
4782,"	Obstet Gynecol","	0029-7844"
4783,"	Int Wound J","	1742-4801"
4784,"	Expert Opin Drug Saf","	1474-0338"
4785,"	J Am Soc Nephrol","	1046-6673"
4786,"	J Surg Res","	0022-4804"
4787,"	J Diabetes Sci Technol","	1932-2968"
4788,"	J Clin Oncol","	0732-183x"
4789,"	Ostomy Wound Manage","	0889-5899"
4790,"	Obstet Gynecol","	0029-7844"
4791,"	Neurologia","	0213-4853"
4792,"	Sleep","	0161-8105"
4793,"	Med Care","	0025-7079"
4794,"	J Plast Surg Hand Surg","	2000-6764"
4795,"	Eur J Surg Oncol","	0748-7983"
4796,"	Int J Med Inform","	1386-5056"
4797,"	Auris Nasus Larynx","	0385-8146"
4798,"	Int J Qual Health Care","	1353-4505"
4799,"	J Emerg Med","	0736-4679"
4800,"	Am J Manag Care","	1088-0224"
4801,"	Med Decis Making","	0272-989x"
4802,"	Pediatr Neonatol","	1875-9572"
4803,"	Scand J Surg","	1457-4969"
4804,"	Eur Respir J","	0903-1936"
4805,"	Int J Infect Dis","	1201-9712"
4806,"	Eur J Endocrinol","	0804-4643"
4807,"	BMC Emerg Med","	1471-227x"
4808,"	Sci Rep","	2045-2322"
4809,"	Am J Obstet Gynecol","	0002-9378"
4810,"	J Subst Abuse Treat","	0740-5472"
4811,"	Hepatology","	0270-9139"
4812,"	Infect Dis Obstet Gynecol","	1064-7449"
4813,"	Women Birth","	1871-5192"
4814,"	JAMA Surg","	2168-6254"
4815,"	J Oncol Pract","	1554-7477"
4816,"	Med Mal Infect","	0399-077x"
4817,"	J Surg Oncol","	0022-4790"
4818,"	Medicine (Baltimore)","	0025-7974"
4819,"	Clin Ther","	0149-2918"
4820,"	Ann Fam Med","	1544-1709"
4821,"	J Occup Environ Med","	1076-2752"
4822,"	J Neurooncol","	0167-594x"
4823,"	Br J Nurs","	0966-0461"
4824,"	Pain Med","	1526-2375"
4825,"	J Pediatr Orthop","	0271-6798"
4826,"	J Am Acad Audiol","	1050-0545"
4827,"	J Am Osteopath Assoc","	0098-6151"
4828,"	Jsls","	1086-8089"
4829,"	Clin Appl Thromb Hemost","	1076-0296"
4830,"	Pm r","	1934-1482"
4831,"	Arch Intern Med","	0003-9926"
4832,"	Sex Transm Dis","	0148-5717"
4833,"	Ann R Coll Surg Engl","	0035-8843"
4834,"	Psychol Aging","	0882-7974"
4835,"	Infect Control Hosp Epidemiol","	0899-823x"
4836,"	Int J Environ Res Public Health","	1661-7827"
4837,"	Stat Med","	0277-6715"
4838,"	Pain Physician","	1533-3159"
4839,"	Clin Chem Lab Med","	1434-6621"
4840,"	Braz J Otorhinolaryngol","	1808-8686"
4841,"	J Pediatr Adolesc Gynecol","	1083-3188"
4842,"	BMC Med","	1741-7015"
4843,"	Actas Esp Psiquiatr","	1139-9287"
4844,"	Diabetes Care","	0149-5992"
4845,"	J Manag Care Pharm","	1083-4087"
4846,"	J Clin Sleep Med","	1550-9389"
4847,"	Adv Neonatal Care","	1536-0903"
4848,"	Acta Paediatr","	0803-5253"
4849,"	Surgery","	0039-6060"
4850,"	J Neurol Sci","	0022-510x"
4851,"	Alzheimers Dement","	1552-5260"
4852,"	Gynecol Oncol","	0090-8258"
4853,"	J Dual Diagn","	1550-4271"
4854,"	Eur J Paediatr Dent","	1591-996X"
4855,"	Ophthalmol Retina","	2468-6530"
4856,"	AJR Am J Roentgenol","	0361-803x"
4857,"	J Wound Care","	0969-0700"
4858,"	Diabetes Metab Res Rev","	1520-7552"
4859,"	PLoS One","	1932-6203"
4860,"	Sultan Qaboos Univ Med J","	2075-051X"
4861,"	Pediatr Infect Dis J","	0891-3668"
4862,"	Foot Ankle Int","	1071-1007"
4863,"	BMC Med Res Methodol","	1471-2288"
4864,"	J Vasc Access","	1129-7298"
4865,"	PLoS One","	1932-6203"
4866,"	BMC Complement Altern Med","	1472-6882"
4867,"	Bmj","	0959-8138"
4868,"	Pain Med","	1526-2375"
4869,"	J Clin Endocrinol Metab","	0021-972x"
4870,"	Am J Obstet Gynecol","	0002-9378"
4871,"	J Emerg Med","	0736-4679"
4872,"	Matern Child Health J","	1092-7875"
4873,"	Int Orthop","	0341-2695"
4874,"	Anesthesiology","	0003-3022"
4875,"	Korean J Lab Med","	1598-6535"
4876,"	Res Social Adm Pharm","	1551-7411"
4877,"	Int J Rheum Dis","	1756-1841"
4878,"	Infect Dis Obstet Gynecol","	1064-7449"
4879,"	J Womens Health (Larchmt)","	1540-9996"
4880,"	Support Care Cancer","	0941-4355"
4881,"	Cancer","	0008-543x"
4882,"	Ann Surg","	0003-4932"
4883,"	J Obstet Gynecol Neonatal Nurs","	0090-0311"
4884,"	Ann Plast Surg","	0148-7043"
4885,"	Clin Pediatr (Phila)","	0009-9228"
4886,"	Curr Med Res Opin","	0300-7995"
4887,"	JPEN J Parenter Enteral Nutr","	0148-6071"
4888,"	Gastrointest Endosc","	0016-5107"
4889,"	Ann Pharmacother","	1060-0280"
4890,"	Pharmacoepidemiol Drug Saf","	1053-8569"
4891,"	J Med Internet Res","	1439-4456"
4892,"	Pediatr Emerg Care","	0749-5161"
4893,"	Am J Emerg Med","	0735-6757"
4894,"	J Gastroenterol Hepatol","	0815-9319"
4895,"	Diabet Med","	0742-3071"
4896,"	Intern Emerg Med","	1828-0447"
4897,"	Arthritis Rheumatol","	2326-5191"
4898,"	Int J Infect Dis","	1201-9712"
4899,"	Arch Dermatol","	0003-987X"
4900,"	Nutr Diet","	1446-6368"
4901,"	Laryngoscope","	0023-852x"
4902,"	Am J Crit Care","	1062-3264"
4903,"	Curr Med Res Opin","	0300-7995"
4904,"	Respir Care","	0020-1324"
4905,"	Anesth Analg","	0003-2999"
4906,"	Eur J Obstet Gynecol Reprod Biol","	0301-2115"
4907,"	J Neurooncol","	0167-594X"
4908,"	J Med Econ","	1369-6998"
4909,"	Popul Health Manag","	1942-7891"
4910,"	Pediatr Infect Dis J","	0891-3668"
4911,"	Brain Behav Immun","	0889-1591"
4912,"	Arthritis Rheumatol","	2326-5191"
4913,"	Neurosurgery","	0148-396x"
4914,"	Pediatr Emerg Care","	0749-5161"
4915,"	BMJ Open","	2044-6055"
4916,"	PLoS One","	1932-6203"
4917,"	BMC Res Notes","	1756-0500"
4918,"	Am J Med Qual","	1062-8606"
4919,"	Circulation","	0009-7322"
4920,"	West J Emerg Med","	1936-900X"
4921,"	J Dermatol","	0385-2407"
4922,"	Pm r","	1934-1482"
4923,"	J Asthma","	0277-0903"
4924,"	BMC Psychiatry","	1471-244x"
4925,"	Am J Gastroenterol","	0002-9270"
4926,"	Pacing Clin Electrophysiol","	0147-8389"
4927,"	Nephrol Dial Transplant","	0931-0509"
4928,"	Epilepsy Behav","	1525-5050"
4929,"	Am J Epidemiol","	0002-9262"
4930,"	Can Assoc Radiol J","	0846-5371"
4931,"	Environ Res","	0013-9351"
4932,"	Neurosurgery","	0148-396x"
4933,"	J Bone Joint Surg Am","	0021-9355"
4934,"	Bmj","	0959-8138"
4935,"	Anesthesiology","	0003-3022"
4936,"	PLoS Med","	1549-1277"
4937,"	Postgrad Med","	0032-5481"
4938,"	J Vet Intern Med","	0891-6640"
4939,"	Cardiovasc Diabetol","	1475-2840"
4940,"	J Shoulder Elbow Surg","	1058-2746"
4941,"	J Arthroplasty","	0883-5403"
4942,"	AJR Am J Roentgenol","	0361-803X"
4943,"	J Surg Res","	0022-4804"
4944,"	Obstet Gynecol","	0029-7844"
4945,"	J Am Heart Assoc","	2047-9980"
4946,"	J Emerg Med","	0736-4679"
4947,"	Clin Orthop Relat Res","	0009-921X"
4948,"	BMC Cardiovasc Disord","	1471-2261"
4949,"	J Wound Care","	0969-0700"
4950,"	Sci Rep","	2045-2322"
4951,"	J Obstet Gynecol Neonatal Nurs","	0090-0311"
4952,"	Sex Health","	1448-5028"
4953,"	PLoS One","	1932-6203"
4954,"	Anaesthesia","	0003-2409"
4955,"	Headache","	0017-8748"
4956,"	Sports Health","	1941-7381"
4957,"	Perfusion","	0267-6591"
4958,"	J Clin Gastroenterol","	0192-0790"
4959,"	Int J Dermatol","	0011-9059"
4960,"	BMC Cancer","	1471-2407"
4961,"	Geriatr Gerontol Int","	1447-0594"
4962,"	Psychosomatics","	0033-3182"
4963,"	Subst Use Misuse","	1082-6084"
4964,"	Crit Care Med","	0090-3493"
4965,"	Am J Health Syst Pharm","	1079-2082"
4966,"	Pharmacoepidemiol Drug Saf","	1053-8569"
4967,"	J Korean Acad Nurs","	2005-3673"
4968,"	Arterioscler Thromb Vasc Biol","	1079-5642"
4969,"	Oncologist","	1083-7159"
4970,"	Clin Nutr","	0261-5614"
4971,"	BMJ Open","	2044-6055"
4972,"	J Am Assoc Nurse Pract","	2327-6886"
4973,"	Diabet Med","	0742-3071"
4974,"	BMJ Qual Saf","	2044-5415"
4975,"	Dig Dis Sci","	0163-2116"
4976,"	Wei Sheng Yan Jiu","	1000-8020"
4977,"	Implement Sci","	1748-5908"
4978,"	Can Fam Physician","	0008-350X"
4979,"	Spine (Phila Pa 1976)","	0362-2436"
4980,"	Medicine (Baltimore)","	0025-7974"
4981,"	Ann Emerg Med","	0196-0644"
4982,"	BMC Complement Altern Med","	1472-6882"
4983,"	J Adolesc Health","	1054-139X"
4984,"	Ethn Dis","	1049-510X"
4985,"	J Am Geriatr Soc","	0002-8614"
4986,"	Stud Health Technol Inform","	0926-9630"
4987,"	J Vasc Surg","	0741-5214"
4988,"	Paediatr Perinat Epidemiol","	0269-5022"
4989,"	Am J Gastroenterol","	0002-9270"
4990,"	Arch Osteoporos","	"
4991,"	Ann Pharmacother","	1060-0280"
4992,"	Acta Obstet Gynecol Scand","	0001-6349"
4993,"	Urology","	0090-4295"
4994,"	J Cardiol","	0914-5087"
4995,"	Am J Med Sci","	0002-9629"
4996,"	Aesthet Surg J","	1090-820x"
4997,"	Am J Sports Med","	0363-5465"
4998,"	PLoS One","	1932-6203"
4999,"	Headache","	0017-8748"
5000,"	Gynecol Oncol","	0090-8258"
5001,"	Oral Dis","	1354-523x"
5002,"	J Clin Lipidol","	1933-2874"
5003,"	J Med Econ","	1369-6998"
5004,"	J Med Imaging Radiat Oncol","	1754-9477"
5005,"	Eur J Radiol","	0720-048x"
5006,"	J Clin Apher","	0733-2459"
5007,"	Med Oncol","	1357-0560"
5008,"	J Dev Behav Pediatr","	0196-206x"
5009,"	J Nurs Adm","	0002-0443"
5010,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
5011,"	JAMA Otolaryngol Head Neck Surg","	2168-6181"
5012,"	PLoS One","	1932-6203"
5013,"	Soc Psychiatry Psychiatr Epidemiol","	0933-7954"
5014,"	Clin Oncol (R Coll Radiol)","	0936-6555"
5015,"	J Hypertens","	0263-6352"
5016,"	J Emerg Med","	0736-4679"
5017,"	Thyroid","	1050-7256"
5018,"	J Pediatr Nurs","	0882-5963"
5019,"	J Int AIDS Soc","	1758-2652"
5020,"	J Public Health Dent","	0022-4006"
5021,"	BMC Infect Dis","	1471-2334"
5022,"	Int J Clin Pharm","	"
5023,"	Hum Reprod","	0268-1161"
5024,"	J Sex Med","	1743-6095"
5025,"	J Surg Res","	0022-4804"
5026,"	J Nurs Adm","	0002-0443"
5027,"	J Clin Neurosci","	0967-5868"
5028,"	Asian J Surg","	1015-9584"
5029,"	Am J Surg","	0002-9610"
5030,"	Curr Med Res Opin","	0300-7995"
5031,"	Can J Public Health","	0008-4263"
5032,"	Eur J Radiol","	0720-048x"
5033,"	Am J Manag Care","	1088-0224"
5034,"	Crit Care Med","	0090-3493"
5035,"	Environ Int","	0160-4120"
5036,"	Pharmacotherapy","	0277-0008"
5037,"	Clin J Am Soc Nephrol","	1555-9041"
5038,"	Eur J Nucl Med Mol Imaging","	1619-7070"
5039,"	Abdom Radiol (NY)","	"
5040,"	Cephalalgia","	0333-1024"
5041,"	Arthritis Res Ther","	1478-6354"
5042,"	Infect Control Hosp Epidemiol","	0899-823x"
5043,"	Korean J Radiol","	1229-6929"
5044,"	Ophthalmology","	0161-6420"
5045,"	BMC Palliat Care","	1472-684x"
5046,"	Antivir Ther","	1359-6535"
5047,"	PLoS One","	1932-6203"
5048,"	Ann Diagn Pathol","	1092-9134"
5049,"	Health Serv Res","	0017-9124"
5050,"	S Afr Med J","	"
5051,"	South Med J","	0038-4348"
5052,"	Am J Infect Control","	0196-6553"
5053,"	J Pediatr Hematol Oncol","	1077-4114"
5054,"	J Clin Oncol","	0732-183X"
5055,"	Anesth Analg","	0003-2999"
5056,"	Am J Surg","	0002-9610"
5057,"	PLoS One","	1932-6203"
5058,"	Drugs Aging","	1170-229x"
5059,"	JAMA Cardiol","	2380-6583"
5060,"	J Alzheimers Dis","	1387-2877"
5061,"	BMC Health Serv Res","	1472-6963"
5062,"	J Manag Care Spec Pharm","	"
5063,"	Dis Esophagus","	1120-8694"
5064,"	Arthroscopy","	0749-8063"
5065,"	Am J Med","	0002-9343"
5066,"	Can J Aging","	0714-9808"
5067,"	Int J Obes (Lond)","	0307-0565"
5068,"	J Am Heart Assoc","	2047-9980"
5069,"	Eur J Vasc Endovasc Surg","	1078-5884"
5070,"	Nutr Hosp","	0212-1611"
5071,"	Value Health","	1098-3015"
5072,"	J Healthc Qual Res","	2603-6479"
5073,"	Acta Diabetol","	0940-5429"
5074,"	Ann Am Thorac Soc","	2329-6933"
5075,"	Urology","	0090-4295"
5076,"	J Neurosurg Spine","	1547-5646"
5077,"	J Am Med Inform Assoc","	1067-5027"
5078,"	Am J Med","	0002-9343"
5079,"	PLoS One","	1932-6203"
5080,"	BMJ Open","	2044-6055"
5081,"	Genetics","	0016-6731"
5082,"	JAMA Pediatr","	2168-6203"
5083,"	J Hand Surg Am","	0363-5023"
5084,"	Skeletal Radiol","	0364-2348"
5085,"	Surg Obes Relat Dis","	1550-7289"
5086,"	Jama","	0098-7484"
5087,"	J Am Vet Med Assoc","	0003-1488"
5088,"	Diabet Med","	0742-3071"
5089,"	Matern Child Health J","	1092-7875"
5090,"	PLoS One","	1932-6203"
5091,"	BMJ Open","	2044-6055"
5092,"	BMC Nephrol","	1471-2369"
5093,"	Arthritis Rheum","	0004-3591"
5094,"	Prostate","	0270-4137"
5095,"	Anatol J Cardiol","	2149-2263"
5096,"	Pediatrics","	0031-4005"
