1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
4861	Safety of Quadrivalent Meningococcal Conjugate Vaccine in Children 2-10 Years	Accession 	Number	Pediatric Infectious Disease Journal
4862	Vitamin D Status in an Elective Orthopedic Surgical Population	Accession 	Number	Foot and Ankle International
4863	Evaluating screening approaches for hepatocellular carcinoma in a cohort of HCV related cirrhosis patients from the Veteran's Affairs Health Care System	Accession 	Number	BMC Medical Research Methodology
4864	Electrocardiographic-guided tip positioning technique for peripherally inserted central catheters in a Dutch teaching hospital: Feasibility and cost-effectiveness analysis in a prospective cohort study	Accession 	Number	J Vasc Access
4865	Clinical and ultrasonographic features of male breast tumors: A retrospective analysis	Accession 	Number	PloS One
4866	Characteristics and status of Korean medicine use in whiplash-associated disorder patients	Accession 	Number	BMC Complementary and Alternative Medicine
4867	Physical inactivity, cardiometabolic disease, and risk of dementia: an individual-participant meta-analysis	Accession 	Number	BMJ
4868	Race and Gender Are Associated with Opioid Dose Reduction Among Patients on Chronic Opioid Therapy	Accession 	Number	Pain Medicine
4869	Clinical inertia of discharge planning among patients with poorly controlled diabetes mellitus	Accession 	Number	Journal of Clinical Endocrinology and Metabolism
4870	Patterns and correlates of cervical cancer screening initiation in a large integrated health care system	Accession 	Number	American Journal of Obstetrics and Gynecology
4871	Prevalence and Predictors of Delay in Seeking Emergency Care in Patients Who Call 9-1-1 for Chest Pain	Accession 	Number	Journal of Emergency Medicine
4872	A retrospective study on infant bed-sharing in a clinical practice population	Accession 	Number	Matern Child Health J
4873	Comparison of analgaesia with lumbar epidurals and lumbar plexus nerve blocks in patients receiving multimodal analgaesics following primary total hip arthroplasty: a retrospective analysis	Accession 	Number	International Orthopaedics
4874	Compliance with Surgical Care Improvement Project for Body Temperature Management (SCIP Inf-10) Is Associated with Improved Clinical Outcomes	Accession 	Number	Anesthesiology
4875	[Clinical importance of morphological multilineage dysplasia in acute myeloid leukemia with myelodysplasia related changes]	Accession 	Number	Korean Journal of Laboratory Medicine
4876	Patient and clinical characteristics that heighten risk for heart failure readmission	Accession 	Number	Research in Social & Administrative Pharmacy
4877	Cost-effectiveness of an adherence-enhancing intervention for gout based on real-world data	Accession 	Number	International Journal of Rheumatic Diseases
4878	Contraceptive use and associated factors among women enrolling into HIV care in southwestern Uganda	Accession 	Number	Infectious Diseases in Obstetrics and Gynecology
4879	Gestational Weight Gain and Pregnancy Complications in a High-Risk, Racially and Ethnically Diverse Population	Accession 	Number	J Womens Health (Larchmt)
4880	Longitudinal patterns of cancer patient reported outcomes in end of life care predict survival	Accession 	Number	Supportive Care in Cancer
4881	Type 2 diabetes mellitus and survival in pancreatic adenocarcinoma: a retrospective cohort study	Accession 	Number	Cancer
4882	A Surgical Endovascular Trauma Service Increases Case Volume and Decreases Time to Hemostasis	Accession 	Number	Annals of Surgery
4883	Cost and Use of Pasteurized Donor Human Milk at a Children's Hospital	Accession 	Number	Journal of Obstetric, Gynecologic, and Neonatal Nursing
4884	The Effect of Web-Based Education on Patient Satisfaction, Consultation Time and Conversion to Surgery	Accession 	Number	Annals of Plastic Surgery
4885	Methicillin-resistant Staphylococcus aureus in middle ear fluid of children	Accession 	Number	Clinical Pediatrics
4886	Impact of renal function on ischemic stroke and major bleeding rates in nonvalvular atrial fibrillation patients treated with warfarin or rivaroxaban: a retrospective cohort study using real-world evidence	Accession 	Number	Current Medical Research and Opinion
4887	Direct Percutaneous Endoscopic Jejunostomy: Procedural and Nutrition Outcomes in a Large Patient Cohort	Accession 	Number	JPEN: Journal of Parenteral and Enteral Nutrition
4888	Per-oral video cholangiopancreatoscopy with narrow-band imaging for the evaluation of indeterminate pancreaticobiliary¬†disease	Accession 	Number	Gastrointestinal Endoscopy
4889	Efficacy, safety, and medication errors associated with the use of inhaled epoprostenol for adults with acute respiratory distress syndrome: a pilot study	Accession 	Number	Annals of Pharmacotherapy
4890	Antibiotic prescribing by telephone in primary care	Accession 	Number	Pharmacoepidemiology and Drug Safety
4891	Unsupervised Machine Learning to Identify High Likelihood of Dementia in Population-Based Surveys: Development and Validation Study	Accession 	Number	Journal of Medical Internet Research
4892	Pediatric Weight Errors and Resultant Medication Dosing Errors in the Emergency Department	Accession 	Number	Pediatric Emergency Care
4893	Emergency department length of stay for ethanol intoxication encounters	Accession 	Number	American Journal of Emergency Medicine
4894	Comparative treatment effectiveness of direct acting antiviral regimens for hepatitis C: Data from the Veterans administration	Accession 	Number	Journal of Gastroenterology and Hepatology
4895	Agreement and reasons for disagreement between photographic and hospital biomicroscopy grading of diabetic retinopathy	Accession 	Number	Diabetic Medicine
4896	Pitfalls in the triage and evaluation of patients with suspected acute ethanol intoxication in an emergency department	Accession 	Number	Internal and Emergency Medicine
4897	Benefit of Anakinra in Treating Pediatric Secondary Hemophagocytic Lymphohistiocytosis	Accession 	Number	Arthritis Rheumatol
4898	Utility of 16S rRNA PCR performed on clinical specimens in patient management	Accession 	Number	International Journal of Infectious Diseases
4899	The risk of depression, anxiety, and suicidality in patients with psoriasis: a population-based cohort study	Accession 	Number	Archives of Dermatology
4900	Evaluation of the impact of a post-hospital discharge Transitional Aged Care Service on frailty, malnutrition and functional ability	Accession 	Number	Nutrition & Dietetics
4901	Immediate complications related to anesthesia in patients undergoing uvulopalatopharyngoplasty for obstructive sleep apnea	Accession 	Number	Laryngoscope
4902	Patient-specific and surgical characteristics in the development of pressure ulcers	Accession 	Number	American Journal of Critical Care
4903	Comparison of escitalopram vs. citalopram and venlafaxine in the treatment of major depression in Spain: clinical and economic consequences	Accession 	Number	Current Medical Research and Opinion
4904	An Asthma Protocol Improved Adherence to Evidence-Based Guidelines for Pediatric Subjects With Status Asthmaticus in the Emergency Department	Accession 	Number	Respiratory Care
4905	Methylprednisolone Therapy in Acute Traumatic Spinal Cord Injury: Analysis of a Regional Spinal Cord Model Systems Database	Accession 	Number	Anesthesia and Analgesia
4906	Impact of power morcellator removal on hysterectomy practice patterns	Accession 	Number	European Journal of Obstetrics, Gynecology, and Reproductive Biology
4907	Discordances in ER, PR, and HER2 between primary breast cancer and brain metastasis	Accession 	Number	Journal of Neuro-Oncology
4908	Glycemic control among patients with type 2 diabetes who initiate basal insulin: a retrospective cohort study	Accession 	Number	Journal of Medical Economics
4909	Utilizing Patient-Specific Factors to Predict Costs in Home-Based Medicare Part B Outpatient Physical Therapy	Accession 	Number	Popul Health Manag
4910	Risk Factors for Bloodstream Infection After Living-donor Liver Transplantation in Children	Accession 	Number	Pediatric Infectious Disease Journal
4911	Maternal serum cytokine levels and risk of bipolar disorder	Accession 	Number	Brain, Behavior, and Immunity
4912	Temporal Trends of Venous Thromboembolism Risk Before and After Diagnosis of Giant Cell Arteritis	Accession 	Number	Arthritis Rheumatol
4913	Overlapping Surgeries Are Not Associated With Worse Patient Outcomes: Retrospective Multivariate Analysis of 14 872 Neurosurgical Cases Performed at a Single Institution	Accession 	Number	Neurosurgery
4914	Analysis of infant lumbar puncture success rates: sitting flexed versus lateral flexed positions	Accession 	Number	Pediatric Emergency Care
4915	Investigating skin-to-skin care patterns with extremely preterm infants in the NICU and their effect on early cognitive and communication performance: a retrospective cohort study	Accession 	Number	BMJ Open
4916	Predictors of poor CD4 and weight recovery in HIV-infected children initiating ART in South Africa	Accession 	Number	PloS One
4917	Likelihood of acute coronary syndrome in emergency department chest pain patients varies with time of presentation	Accession 	Number	BMC Research Notes
4918	Heart Failure Readmission Reduction	Accession 	Number	American Journal of Medical Quality
4919	Impact of combat deployment and posttraumatic stress disorder on newly reported coronary heart disease among US active duty and reserve forces	Accession 	Number	Circulation
4920	Treatment of Nausea and Vomiting in Pregnancy: Factors Associated with ED Revisits	Accession 	Number	Western Journal of Emergency Medicine
4921	Demographic and clinical features of hidradenitis suppurativa in Korea	Accession 	Number	Journal of Dermatology
4922	Team-Based Medicine: Incorporating a Clinical Pharmacist into Pain and Opioid Practice Management	Accession 	Number	Pm r
4923	The utility of forced expiratory flow between 25% and 75% of vital capacity in predicting childhood asthma morbidity and severity	Accession 	Number	Journal of Asthma
4924	Associations of homelessness and residential mobility with length of stay after acute psychiatric admission	Accession 	Number	BMC Psychiatry
4925	Preventing Endoscopy Clinic No-Shows: Prospective Validation of a Predictive Overbooking Model	Accession 	Number	American Journal of Gastroenterology
4926	Persistent sex disparities in implantable cardioverter-defibrillator therapy	Accession 	Number	Pacing and Clinical Electrophysiology
4927	Predictors of treatment with dialysis modalities in observational studies for comparative effectiveness research	Accession 	Number	Nephrology, Dialysis, Transplantation
4928	Long-term seizure and psychosocial outcomes after resective surgery for intractable epilepsy	Accession 	Number	Epilepsy & Behavior
4929	Residential Racial Isolation and Spatial Patterning of Type 2 Diabetes Mellitus in Durham, North Carolina	Accession 	Number	American Journal of Epidemiology
4930	Incidental Findings on Bedside Ultrasonography: Detection Rate and Accuracy of Resident-Performed Examinations in the Acute Setting	Accession 	Number	Canadian Association of Radiologists Journal
4931	Association between exposure to desalinated sea water and ischemic heart disease, diabetes mellitus and colorectal cancer; A population-based study in Israel	Accession 	Number	Environmental Research
4932	Interhospital Transfer of Neurosurgical Patients: Implications of Timing on Hospital Course and Clinical Outcomes	Accession 	Number	Neurosurgery
4933	Surgical outcomes of total knee replacement according to diabetes status and glycemic control, 2001 to 2009	Accession 	Number	Journal of Bone and Joint Surgery (American Volume)
4934	Thyroid replacement therapy, thyroid stimulating hormone concentrations, and long term health outcomes in patients with hypothyroidism: longitudinal study	Accession 	Number	BMJ
4935	Management of One-lung Ventilation: Impact of Tidal Volume on Complications after Thoracic Surgery	Accession 	Number	Anesthesiology
4936	Elevated blood pressure and risk of mitral regurgitation: A longitudinal cohort study of 5.5 million United Kingdom adults	Accession 	Number	PLoS Medicine
4937	Association between obesity and therapeutic goal attainment in patients with concomitant hypertension and dyslipidemia	Accession 	Number	Postgraduate Medicine
4938	Presumed Neuroglycopenia Caused by Severe Hypoglycemia in Horses	Accession 	Number	Journal of Veterinary Internal Medicine
4939	Comparative risk evaluation for cardiovascular events associated with dapagliflozin vs. empagliflozin in real-world type 2 diabetes patients: a multi-institutional cohort study	Accession 	Number	Cardiovascular Diabetology
4940	Shoulder adhesive capsulitis: epidemiology and predictors of surgery	Accession 	Number	Journal of Shoulder and Elbow Surgery
4941	Comparison of Lumbar Epidurals and Lumbar Plexus Nerve Blocks for Analgesia Following Primary Total Hip Arthroplasty: A Retrospective Analysis	Accession 	Number	Journal of Arthroplasty
4942	Microwave ablation of hepatic tumors abutting the diaphragm is safe and effective	Accession 	Number	AJR: American Journal of Roentgenology
4943	Clinical factors and high-resolution manometry predicting response to surgery for achalasia in children	Accession 	Number	Journal of Surgical Research
4944	Characteristics associated with severe perineal and cervical lacerations during vaginal delivery	Accession 	Number	Obstetrics and Gynecology
4945	Changes in Statin Adherence Following an Acute Myocardial Infarction Among Older Adults: Patient Predictors and the Association With Follow-Up With Primary Care Providers and/or Cardiologists	Accession 	Number	J Am Heart Assoc
4946	The Two-Bag Method for Treatment of Diabetic Ketoacidosis in Adults	Accession 	Number	Journal of Emergency Medicine
4947	What is the Natural History of the Triangular Fibrocartilage Complex Tear Without Distal Radioulnar Joint Instability?	Accession 	Number	Clinical Orthopaedics and Related Research
4948	Risk factors for medication non-adherence among atrial fibrillation patients	Accession 	Number	BMC Cardiovascular Disorders
4949	Factors in rehospitalisation for severe pressure ulcer care in spinal cord injury/disorders	Accession 	Number	Journal of Wound Care
4950	Ehlers-Danlos syndrome hypermobility type is associated with rheumatic diseases	Accession 	Number	Scientific Reports
4951	A cross-sectional analysis of the effect of patient-controlled epidural analgesia versus patient controlled analgesia on postcesarean pain and breastfeeding	Accession 	Number	Journal of Obstetric, Gynecologic, and Neonatal Nursing
4952	Is the risk for sexually transmissible infections (STI) lower among women with exclusively female sexual partners compared with women with male partners? A retrospective study based on attendees at a Norwegian STI clinic from 2004 to 2014	Accession 	Number	Sex Health
4953	Initial uptake, time to treatment, and real-world effectiveness of all-oral direct-acting antivirals for hepatitis C virus infection in the United States: A retrospective cohort analysis	Accession 	Number	PloS One
4954	Transfusion in critical care - a UK regional audit of current practice	Accession 	Number	Anaesthesia
4955	Do Headache Patients Require More Care in Between Visits Than Other Neurology Outpatients?	Accession 	Number	Headache
4956	When the Wave Breaks You: Magnetic Resonance Imaging Findings After Surfing Injuries	Accession 	Number	Sports Health
4957	Veno-arterio-venous ECMO for septic cardiomyopathy: a single-centre experience	Accession 	Number	Perfusion
4958	Predictors of Suicidal Ideation Among IBD Outpatients	Accession 	Number	Journal of Clinical Gastroenterology
4959	Evidence for the association of Hashimoto's thyroiditis with psoriasis: a cross-sectional retrospective study	Accession 	Number	International Journal of Dermatology
4960	Liver function changes after transarterial chemoembolization in US hepatocellular carcinoma patients: the LiverT study	Accession 	Number	BMC Cancer
4961	Differential impact of some risk factors on trochanteric and cervical hip fractures	Accession 	Number	Geriatr Gerontol Int
4962	Capacity Evaluation Requests in the Medical Setting: A Retrospective Analysis of Underlying Psychosocial and Ethical Factors	Accession 	Number	Psychosomatics
4963	Clinical Characteristics of Synthetic Cannabinoid Use in a Large Urban Psychiatric Emergency Setting	Accession 	Number	Substance Use and Misuse
4964	Differences in outcome between obese and nonobese patients following severe blunt trauma are not consistent with an early inflammatory genomic response	Accession 	Number	Critical Care Medicine
4965	Pharmacist-led medication management program within a patient-centered medical home	Accession 	Number	American Journal of Health-System Pharmacy
4966	Impact of antibiotic treatment duration on outcomes in older men with suspected urinary tract infection: Retrospective cohort study	Accession 	Number	Pharmacoepidemiology and Drug Safety
4967	[Reversals in Decisions about Life-Sustaining Treatment and Associated Factors among Older Patients with Terminal Stage of Cardiopulmonary Disease]	Accession 	Number	Journal of the Korean Academy of Nursing
4968	Platelet Inhibitors Reduce Rupture in a Mouse Model of Established Abdominal Aortic Aneurysm	Accession 	Number	Arteriosclerosis, Thrombosis, and Vascular Biology
4969	Barriers to study enrollment in patients with advanced cancer referred to a phase I clinical trials unit	Accession 	Number	Oncologist
4970	Adequacy of nutrition support during extracorporeal membrane oxygenation	Accession 	Number	Clinical Nutrition
4971	Antibiotic use and clinical outcomes in the acute setting under management by an infectious diseases acute physician versus other clinical teams: a cohort study	Accession 	Number	BMJ Open
4972	Readmissions after left ventricular assist device implantation: Considerations for nurse practitioners	Accession 	Number	Journal of the American Association of Nurse Practitioners
4973	Associations of HbA1c and educational level with risk of cardiovascular events in 32,871 drug-treated patients with Type 2 diabetes: a cohort study in primary care	Accession 	Number	Diabetic Medicine
4974	Management of low back pain in Australian emergency departments	Accession 	Number	BMJ Qual Saf
4975	Evidence of Significant Ceftriaxone and Quinolone Resistance in Cirrhotics with Spontaneous Bacterial Peritonitis	Accession 	Number	Digestive Diseases and Sciences
4976	[Changing trend of children's malnutrition and anemia rate from 2009 to 2015 in Taicang City, Jiangsu Province]	Accession 	Number	Wei Sheng Yan Jiu
4977	Preventive evidence into practice (PEP) study: implementation of guidelines to prevent primary vascular disease in general practice protocol for a cluster randomised controlled trial	Accession 	Number	Implement Sci
4978	Reasons for not completing postvasectomy semen analysis	Accession 	Number	Canadian Family Physician
4979	Complications Associated With Minimally Invasive Anterior to the Psoas (ATP) Fusion of the Lumbosacral Spine	Accession 	Number	Spine
4980	Outcomes of volar locking plate (VLP) fixation for treatment of die-punch fracture of the distal radius: A retrospective single-surgeon study	Accession 	Number	Medicine (Baltimore)
4981	Outpatient Management of Emergency Department Patients With Acute Pulmonary Embolism: Variation, Patient Characteristics, and¬†Outcomes	Accession 	Number	Annals of Emergency Medicine
4982	Prevalence of the potentially inappropriate Kampo medications to be used with caution among elderly patients taking any prescribed Kampo medications at a single centre in Japan: a retrospective cross-sectional study	Accession 	Number	BMC Complementary and Alternative Medicine
4983	Mental health of transgender youth in care at an adolescent urban community health center: a matched retrospective cohort study	Accession 	Number	Journal of Adolescent Health
4984	Demographic differences in the treatment and control of glucose in type 2 diabetic patients: implications for health care practice	Accession 	Number	Ethnicity and Disease
4985	Impact of the 2008 U.S. Preventative Services Task Force recommendation on frequency of prostate-specific antigen screening in older men	Accession 	Number	Journal of the American Geriatrics Society
4986	Assessing the feasibility of data mining techniques for early liver cancer detection	Accession 	Number	Studies in Health Technology and Informatics
4987	Carotid revascularization outcomes comparing distal filters, flow reversal, and endarterectomy	Accession 	Number	Journal of Vascular Surgery
4988	The association between parity and birthweight in a longitudinal consecutive pregnancy cohort	Accession 	Number	Paediatric and Perinatal Epidemiology
4989	Proton Pump Inhibitors Do Not Increase Risk for Clostridium difficile Infection in the Intensive Care Unit	Accession 	Number	American Journal of Gastroenterology
4990	Renal impairment among postmenopausal women with osteoporosis from a large health plan in Israel	Accession 	Number	Arch Osteoporos
4991	Adductor Canal Block With Bupivacaine Liposome Versus Ropivacaine Pain Ball for Pain Control in Total Knee Arthroplasty: A Retrospective Cohort Study	Accession 	Number	Annals of Pharmacotherapy
4992	Risk of repeat cesarean delivery in women undergoing trial of labor: A population-based cohort study	Accession 	Number	Acta Obstetricia et Gynecologica Scandinavica
4993	Nonclinical Barriers to Care for Neurogenic Patients Undergoing Complex Urologic Reconstruction	Accession 	Number	Urology
4994	Risk of myocardial infarction in patients with psoriasis: A cross-sectional patient-population study in a Japanese hospital	Accession 	Number	Journal of Cardiology
4995	Body mass index-mortality relationship in severe hypoglycemic patients with type 2 diabetes	Accession 	Number	American Journal of the Medical Sciences
4996	Safety in office-based full abdominoplasty	Accession 	Number	Aesthetic Surgery Journal
4997	Medialized Clavicular Bone Tunnel Position Predicts Failure After Anatomic Coracoclavicular Ligament Reconstruction in Young, Active Male Patients	Accession 	Number	American Journal of Sports Medicine
4998	Surgical site infections after deep brain stimulation surgery: frequency, characteristics and management in a 10-year period	Accession 	Number	PloS One
4999	Seasonal Variation in Emergency Department Visits Among Pediatric Headache Patients	Accession 	Number	Headache
5000	Increased risk of brain metastases in ovarian cancer patients with BRCA mutations	Accession 	Number	Gynecologic Oncology
5001	Direct oral anticoagulants: A retrospective study of bleeding, behavior, and documentation	Accession 	Number	Oral Diseases
5002	Compliance with the Adult Treatment Panel III guidelines for hyperlipidemia in a resident-run ambulatory clinic: a retrospective data analysis	Accession 	Number	Journal of Clinical Lipidology
5003	A longitudinal analysis of costs associated with change in disease activity in systemic lupus erythematosus	Accession 	Number	Journal of Medical Economics
5004	Hypofractionated versus conventionally fractionated radiotherapy for ductal carcinoma in situ (DCIS) of the breast	Accession 	Number	Journal of Medical Imaging and Radiation Oncology
5005	Predictors of radiation dose for CT pulmonary angiography in pregnancy across a multihospital integrated healthcare network	Accession 	Number	European Journal of Radiology
5006	Establishing an institutional therapeutic apheresis registry	Accession 	Number	Journal of Clinical Apheresis
5007	Anthracycline- and trastuzumab-induced cardiotoxicity: a retrospective study	Accession 	Number	Medical Oncology
5008	Factors Associated with Developmental Behavioral Pediatricians Prescribing Psychotropic Medication to Children with Autism Spectrum Disorder: A Study of Three DBPNet Sites	Accession 	Number	Journal of Developmental and Behavioral Pediatrics
5009	Variability in Acuity in Acute Care	Accession 	Number	Journal of Nursing Administration
5010	Management of COPD in the UK primary-care setting: an analysis of real-life prescribing patterns	Accession 	Number	International Journal of Chronic Obstructive Pulmonary Disease
5011	Comparison of Patient- and Practitioner-Reported Toxic Effects Associated With Chemoradiotherapy for Head and Neck Cancer	Accession 	Number	JAMA Otolaryngol Head Neck Surg
5012	Assessing treatment outcomes among peer educators living with HIV in Kenya	Accession 	Number	PloS One
5013	Inpatient use and area-level socio-environmental factors in people with psychosis	Accession 	Number	Social Psychiatry and Psychiatric Epidemiology
5014	Stereotactic Ablative Radiotherapy (SABR) in Patients with Medically Inoperable Peripheral Early Stage Lung Cancer: Outcomes for the First UK SABR Cohort	Accession 	Number	Clinical Oncology (Royal College of Radiologists)
5015	Pressure points in primary care: blood pressure and management of hypertension in 532‚Ää050 patients from 2005 to 2010	Accession 	Number	Journal of Hypertension
5016	Telephoned, Texted, or Typed Out: A Randomized Trial of Physician-Patient Communication After Emergency Department Discharge	Accession 	Number	Journal of Emergency Medicine
5017	Predictors of malignancy in patients with cytologically suspicious thyroid nodules	Accession 	Number	Thyroid
5018	Group Style Central Venous Catheter Education Using the GLAD Model	Accession 	Number	Journal of Pediatric Nursing
5019	Patients' demographic and clinical characteristics and level of care associated with lost to follow-up and mortality in adult patients on first-line ART in Nigerian hospitals	Accession 	Number	Journal of the International AIDS Society
5020	Caries prevalence and associations with medications and medical comorbidities	Accession 	Number	Journal of Public Health Dentistry
5021	Late presentation for HIV care in Southwest Ethiopia in 2003-2015: prevalence, trend, outcomes and risk factors	Accession 	Number	BMC Infectious Diseases
5022	Prevalence and predictors of digoxin utilization among heart failure patients with reduced ejection fraction in Qatar	Accession 	Number	International Journal of Clinical Pharmacy
5023	Adherence to the Mediterranean diet and IVF success rate among non-obese women attempting fertility	Accession 	Number	Human Reproduction
5024	Erectile dysfunction after sickle cell disease-associated recurrent ischemic priapism: profile and risk factors	Accession 	Number	Journal of Sexual Medicine
5025	Radiographic and Clinical Factors in Pediatric Patients With Surgical Small-bowel Intussusception	Accession 	Number	Journal of Surgical Research
5026	Avoiding Adverse Events Secondary to Opioid-Induced Respiratory Depression: Implications for Nurse Executives and Patient Safety	Accession 	Number	Journal of Nursing Administration
5027	First-line management of chronic subdural hematoma with the subdural evacuating port system: Institutional experience and predictors of outcomes	Accession 	Number	Journal of Clinical Neuroscience
5028	Anti-cholinergic burden and patient related clinical outcomes in an emergency general surgical setting	Accession 	Number	Asian Journal of Surgery
5029	Veterans Affairs general surgery service: the last bastion of integrated specialty care	Accession 	Number	American Journal of Surgery
5030	Effects of non-medical switching on outcomes among patients prescribed tumor necrosis factor inhibitors	Accession 	Number	Current Medical Research and Opinion
5031	A modeling study exploring the impact of homelessness on rostered primary care utilization in Calgary, Canada	Accession 	Number	Canadian Journal of Public Health Revue Canadienne de Santé Publique
5032	The success of walk-in-computed tomography in practice	Accession 	Number	European Journal of Radiology
5033	Change to FIT increased CRC screening rates: evaluation of a US screening outreach program	Accession 	Number	American Journal of Managed Care
5034	The determinants of hospital mortality among patients with septic shock receiving appropriate initial antibiotic treatment*	Accession 	Number	Critical Care Medicine
5035	Residential proximity to major roadways and traffic in relation to outcomes of in vitro fertilization	Accession 	Number	Environment International
5036	Early risk factors for persistent anemia after kidney transplantation	Accession 	Number	Pharmacotherapy
5037	Relation between asymptomatic proteinase 3 antibodies and future granulomatosis with polyangiitis	Accession 	Number	Clinical Journal of the American Society of Nephrology
5038	Prediction of outcome in anal squamous cell carcinoma using radiomic feature analysis of pre-treatment FDG PET-CT	Accession 	Number	European Journal of Nuclear Medicine and Molecular Imaging
5039	Retrospective comparison of outcomes and associated complications between large bore radiologically inserted gastrostomy tube types	Accession 	Number	Abdom Radiol (NY)
5040	Headaches during war: analysis of presentation, treatment, and factors associated with outcome	Accession 	Number	Cephalalgia
5041	Veterans Affairs databases are accurate for gout-related health care utilization: a validation study	Accession 	Number	Arthritis Research & Therapy
5042	USA300 methicillin-resistant Staphylococcus aureus emerging as a cause of bloodstream infections at military medical centers	Accession 	Number	Infection Control and Hospital Epidemiology
5043	Post-Ischemic Bowel Stricture: CT Features in Eight Cases	Accession 	Number	Korean J Radiol
5044	Patterns of Binocular Visual Field Loss Derived from Large-Scale Patient Data from Glaucoma Clinics	Accession 	Number	Ophthalmology
5045	Trends in treatment during the last stages of life in end-stage gynecologic cancer patients who received active palliative chemotherapy: a comparative analysis of 10-year data in a single institution	Accession 	Number	BMC Palliative Care
5046	Use of oseltamivir in lung transplant recipients with suspected or proven influenza infection: a 1-year observational study of outcomes and safety	Accession 	Number	Antiviral Therapy
5047	Interatrial blocks prevalence and risk factors for human immunodeficiency virus-infected persons	Accession 	Number	PloS One
5048	Hit or a miss: Concordance between histopathologic-endoscopic findings in gastric mucosal biopsies	Accession 	Number	Annals of Diagnostic Pathology
5049	Impact of a chronic care coordinator intervention on diabetes quality of care in a community health center	Accession 	Number	Health Services Research
5050	We need to target trauma: A prospective observational study in Eastern Cape Province, South Africa	Accession 	Number	South African Medical Journal
5051	Anemia in general medical inpatients prolongs length of stay and increases 30-day unplanned readmission rate	Accession 	Number	Southern Medical Journal
5052	Identification of temporal clusters and risk factors of bacteremia by nosocomial vancomycin-resistant enterococci	Accession 	Number	American Journal of Infection Control
5053	Retrospective Evaluation of Palifermin Use in Nonhematopoietic Stem Cell Transplant Pediatric Patients	Accession 	Number	Journal of Pediatric Hematology/Oncology
5054	Advanced hepatocellular carcinoma: which staging systems best predict prognosis?	Accession 	Number	Journal of Clinical Oncology
5055	Perioperative Management in Hepatic Resections: Comparative Effectiveness of Neuraxial Anesthesia and Disparity of Care Patterns	Accession 	Number	Anesthesia and Analgesia
5056	Six-year experience: long-term disease control outcomes for partial breast irradiation using MammoSite balloon brachytherapy	Accession 	Number	American Journal of Surgery
5057	ART attrition and risk factors among Option B+ patients in Haiti: A retrospective cohort study	Accession 	Number	PloS One
5058	Age-Associated Hematological Toxicity in Patients with Metastatic Castration-Resistant Prostate Cancer Treated with Docetaxel in Clinical Practice	Accession 	Number	Drugs and Aging
5059	Incidence and Determinants of Traumatic Intracranial Bleeding Among Older Veterans Receiving Warfarin for Atrial Fibrillation	Accession 	Number	JAMA Cardiol
5060	Memantine is associated with longer survival than donepezil in a Veterans Affairs prescription database, 1997 to 2008	Accession 	Number	Journal of Alzheimer's Disease
5061	Type II diabetes patients in primary care: profiles of healthcare utilization obtained from observational data	Accession 	Number	BMC Health Services Research
5062	Demographic and Clinical Profiles of Type 2 Diabetes Mellitus Patients Initiating Canagliflozin Versus DPP-4 Inhibitors in a Large U.S. Managed Care Population	Accession 	Number	J Manag Care Spec Pharm
5063	Diagnostic yield in the evaluation of dysphagia: experience at a single tertiary care center	Accession 	Number	Diseases of the Esophagus
5064	Tibialis anterior or posterior allograft anterior cruciate ligament reconstruction versus hamstring autograft reconstruction: an economic analysis in a hospital-based outpatient setting	Accession 	Number	Arthroscopy
5065	Prophylactic Antibiotics Are Not Needed Following Rattlesnake Bites	Accession 	Number	American Journal of Medicine
5066	The Short Performance Physical Battery Is Associated with One-Year Emergency Department Visits and Hospitalization	Accession 	Number	Canadian Journal on Aging La Revue Canadienne Du Vieillissement
5067	Maternal antibiotic use during pregnancy and childhood obesity at age 5 years	Accession 	Number	International Journal of Obesity (2005)
5068	Association of Neighborhood Socioeconomic Context With Participation in Cardiac Rehabilitation	Accession 	Number	J Am Heart Assoc
5069	Factors Associated with Contralateral Deep Venous Thrombosis after Iliocaval Venous Stenting	Accession 	Number	European Journal of Vascular and Endovascular Surgery
5070	Association of anemia and malnutrition in hospitalized patients with exclusive enteral nutrition	Accession 	Number	Nutricion Hospitalaria
5071	Cost-Effectiveness of Antihypertensive Therapy in Patients Older Than 80 Years: Cohort Study and Markov Model	Accession 	Number	Value in Health
5072	[Critically ill patient isolation: risk or protection?]	Accession 	Number	J Healthc Qual Res
5073	Real-world use of self-monitoring of blood glucose in people with type 2 diabetes: an urgent need for improvement	Accession 	Number	Acta Diabetologica
5074	Depression Is Associated with Readmission for Acute Exacerbation of Chronic Obstructive Pulmonary Disease	Accession 	Number	Ann Am Thorac Soc
5075	Racial and Ethnic Variation in Time to Prostate Biopsy After an Elevated Screening Level of Serum Prostate-specific Antigen	Accession 	Number	Urology
5076	Smoking as an independent predictor of reoperation after lumbar laminectomy: a study of 500 cases	Accession 	Number	Journal of Neurosurgery: Spine
5077	Delivering digital health and well-being at scale: lessons learned during the implementation of the dallas program in the United Kingdom	Accession 	Number	Journal of the American Medical Informatics Association
5078	Digital Rectal Examination Reduces Hospital Admissions, Endoscopies, and Medical Therapy in Patients with Acute Gastrointestinal Bleeding	Accession 	Number	American Journal of Medicine
5079	Implementation of an automated early warning scoring system in a surgical ward: Practical use and effects on patient outcomes	Accession 	Number	PloS One
